,url,fundraising_entity_type,entity_name,count
1,https://www.gofundme.com/f/keep-ukraines-media-going,organizational charity fund,the fix,3770
2,https://www.patreon.com/prytula,public figure,Serhiy Prytula Ukrainian Politician,2805
3,https://www.gofundme.com/f/stand-with-ukraine,enterprise,gofundme,2672
4,https://www.patreon.com/malinbot,independent journalism,Malin Bot,2512
5,https://www.gofundme.com/f/kyivindependent-launch,media,Kyiv Independent,2305
6,https://www.patreon.com/JohnSweeneyRoar,independent journalism,JohnSweeneyRoar,1473
7,https://www.patreon.com/fhkc,organizational charity fund,Free Hong Kong Center,1439
8,https://www.patreon.com/posts/freedom-square-63254073,independent journalism,Gaslit Nation,1260
9,https://www.gofundme.com/f/navalny-team,independent journalism,Alexei Navalny¡¯s team,1231
10,https://www.patreon.com/kyivindependent,media,Kyiv Independent,1055
11,https://www.patreon.com/feygin_live,independent journalism,§¶§¦§«§¤§ª§¯ LIVE,1020
12,http://patreon.com/ukraineworld,independent journalism,UkraineWorld,884
13,https://www.gofundme.com/f/ukraine-humanitarian-fund,organizational charity fund,Ukraine Humanitarian Fund,698
14,https://www.patreon.com/PetrenkoAndryi,professionals,Petrenko Andryi (Kyiv Ukraine),649
15,https://www.gofundme.com/f/send-money-directly-to-ukrainians-for-food,individual charity fund,Send Money Directly to Ukrainians for Food,613
16,https://www.gofundme.com/f/support-the-ukrainian-journal-arheologia,organizational charity fund,Support the Ukrainian journal Arheologia,584
17,https://www.gofundme.com/f/frontline-ukraine-support-courageous-reporting,organizational charity fund,THE FRONTLINE CLUB CHARITABLE TRUST,559
18,https://www.patreon.com/savelife_in_ua,organizational charity fund,savelife in ukraine,469
19,https://www.patreon.com/yakovina,independent journalism,Ivan Yakovina,426
20,https://www.gofundme.com/f/helpukraine,organizational charity fund,Help Ukraine Emergency Appeal,418
21,https://www.patreon.com/Taras_V_Berezovets,independent journalism,Taras Berezovets,402
22,https://www.gofundme.com/f/help-mariiakyryl,professionals,Support for Ukra_n_an athletes,398
23,https://www.patreon.com/ATR_UA,media,ATR,387
24,https://www.patreon.com/posts/63421631,independent journalism,Lee Camp,383
25,https://www.gofundme.com/f/ERIAC-support-for-the-brave-people-of-ukraine,organizational charity fund,SUPPORT ROMA PEOPLE OF UKRAINE,312
26,https://www.patreon.com/nicolasmoras,independent journalism,Los Liberales | Nicol¨¢s Mor¨¢s,308
27,https://www.patreon.com/uanimals,organizational charity fund,Uanimals,287
28,https://www.patreon.com/posts/63509268,independent journalism,Lee Camp,281
29,https://www.patreon.com/ptv_ua,media,PTV.UA,271
30,https://patreon.com/sternenko,independent journalism,STERNENKO,260
31,https://www.gofundme.com/f/ukraine-humanitarian-relief-mission,organizational charity fund,Ukraine Humanitarian Relief Mission,245
32,https://www.patreon.com/oleksandr_palii?fan_landing=true,public figure,§°§Ý§Ö§Ü§ã§Ñ§ß§Õ§â §±§Ñ§Ý_§Û,245
33,https://www.patreon.com/govorytlviv,media,§¤§°§£§°§²§ª§´§¾ §£§¦§­§ª§¬§ª§« §­§¾§£_§£,240
34,https://www.gofundme.com/f/vufku-100-helping-the-dovzhenko-centre-in-kyiv,organizational charity fund,VUFKU 100 - Helping Ukraine's Film Archive,236
35,https://www.paypal.com/pools/c/8ICGDOS2Sr,individual charity fund,Ukraine Hilfe,230
36,https://www.gofundme.com/f/please-lets-help-twins-with-sma-disease?utm_source=facebook,individual charity fund,Please let¡¯s help twin¡¯s with SMA disease!,229
37,https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=AZFUZDSQASRDJ,independent journalism,Donate to info@amazingwordministries.com,227
38,https://patreon.com/omtv,independent journalism,OmTV,198
39,https://ko-fi.com/theconvorcall,individual charity fund,Help Rose Aid Ukrainian Orphans/Families,198
40,https://www.gofundme.com/f/help-sasha-to-grow-up-up,/,,189
41,https://www.patreon.com/elnoticion,/,,187
42,https://www.patreon.com/oleksiigoncharenko,/,,182
43,https://www.patreon.com/ukrlife,media,UKRLIFE.TV,173
44,https://www.patreon.com/UkrainianWitness,independent journalism,Ukrainian Witness,167
45,https://www.patreon.com/den_kazanskyi,independent journalism,Denys Kazanskyi,158
46,https://www.paypal.com/pools/c/8IQBIlXmPb,/,,155
47,https://www.patreon.com/aydermuzhdabaev,/,,152
48,https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=FAXD9R7CFB4SJ,organizational charity fund,Donate to United Help Ukraine,151
49,https://www.patreon.com/gostomelshelter,organizational charity fund,Gostomel Shelter for animals,146
50,https://www.gofundme.com/f/Support-Black-people-fleeing-Ukraine,organizational charity fund,Support Black people fleeing Ukraine,144
51,https://www.paypal.com/pools/c/8HCRfpHxO1,individual charity fund,Help Afro-Caribbean students leaving Ukraine - Part 2,142
52,https://www.patreon.com/posts/abby-martin-lee-63846425,independent journalism,Lee Camp,141
53,https://www.gofundme.com/f/helpukraine-emergency-appeal,organizational charity fund,Help Ukraine Emergency Appeal,140
54,https://www.paypal.com/fundraiser/117811171978246391,enterprise,Support Ukraine Relief,134
