,Unnamed: 0.1,Unnamed: 0,platformId,date,description,postUrl,expandedLink,domain,domain2
8754,8754,8754,2781656189563406383_6505180774,2022-02-25 20:01:19,"From tonight, we commit that 70% of the revenues made through the sales of 01 will revert directly to causes supporting war zone scenarios.
 We do believe that through our common effort in creating we can overcome the dark ages we are cruising.
 Our sales split will firstly support three direct aid causes to the more affected populations in war-zone regions such as Ukraine, Syria, and Palestine.

>>> https://reif.bandcamp.com/album/01-2
 🇺🇦 Ukraine - Crisis Relief - https://crisisrelief.un.org/t/ukraine The Ukraine Humanitarian Fund is one of the UN's country-based pooled funds. Contributions are collected into a single, unearmarked fund and managed locally under UN leadership. As crises evolve, funds are made directly and immediately available to a wide range of partner organizations at the front lines of response. This way, funding reaches the people most in need when they need it.  🇸🇾Syria- Molham Team - https://molhamteam.com/en/until_last_tent#donation-process In 2012, Molham Team was founded by a group of dedicated Syrian university students - young men and women who sensed the suffering of fellow Syrians who became refugees in neighboring countries; namely Jordan, Lebanon, and Turkey. Using every resource available to them, the volunteers have been striving to secure necessities, such as food, shelter, and medication for Syrians in need.  🇵🇸 Palestine - Children’s Relief Fund - https://www.pcrf.net/ The Palestine Children's Relief Fund was established in 1992 by concerned humanitarians in the USA to bring injured and sick children for free medical care they could not get locally.  Since then, PCRF has sent over 2,000 sick and injured children for free medical care, as well as sponsored hundreds of volunteer medical teams from all over the world to treat tens of thousands of sick and injured youths in local hospitals. PCRF also has built two pediatric cancer departments in Palestine and has several more major programs and projects taking place to help support the development of a sustainable healthcare system there.",https://www.instagram.com/p/CaabZEKMYgv/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
8812,8812,8812,2781642528915686308_22228719120,2022-02-25 19:34:11,"A traditional Ukrainian Vinok (Ukrainian wreath). A tradition that has been practiced in the country for centuries, predating the Christianisation of the people. 

While Ukraine is not a part of the Balkans, I felt obliged to post this. To convey the beauty and individuality of Ukrainian culture. Ukrainians have their own specific culture, language, and history and THIS cannot be erased regardless of what any nationalist say or do. 

Your south-eastern european neighbours in the Balkans are with you Ukraine! The world must hold Russia accountable for what they are doing. This behaviour is UNACCEPTABLE!

We have listed a variety of links that provide chairites/organisations for you all to support Ukraine in whatever way you can. 

- https://www.timeout.com/news/8-ways-you-can-help-the-people-of-ukraine-right-now-022422

- https://crisisrelief.un.org/ukraine-crisis?gclid=Cj0KCQiAmeKQBhDvARIsAHJ7mF59n59pSPx1Z9i50B12qpfdq9AsuJ2SRzNib-3UxFxBdfkMjahro9saAtyCEALw_wcB

- https://savelife.in.ua/en/donate/

(We will also be linking these in our stories)! 

Photo by: Treti Pivni
-
-
-
-
#ukraine #ukrianian #ukrainiangirl #🇺🇦#culture #history #beautiful #representation #endwar #nowar #notowar #identity #freedom",https://www.instagram.com/p/CaaYSRsI4Ok/,https://crisisrelief.un.org/ukraine-crisis?gclid=Cj0KCQiAmeKQBhDvARIsAHJ7mF59n59pSPx1Z9i50B12qpfdq9AsuJ2SRzNib-3UxFxBdfkMjahro9saAtyCEALw_wcB,crisisrelief.un.org,un
8981,8981,8981,2781602558256038402_2101956489,2022-02-25 18:14:46,"We send all our support to Ukraine citizens. Let’s unite on Wednesday, 2nd of March @6pm on YT and FB live to raise funds for Ukraine. We count on your help. Please donate to the Ukraine Humanitarian Fund or the International Fund! [link in bio]

Many thanks to all the volunteers involved.

Link for donation:
https://crisisrelief.un.org/t/ukraine

Event Facebook: 
https://www.facebook.com/events/1049807522231658/",https://www.instagram.com/p/CaaPMoHK0IC/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
9073,9073,9073,2781584796762126570_1450938623,2022-02-25 17:39:29,"We send all our support to Ukraine citizens. Let’s unite on Wednesday, 2nd of March @6pm on YT and FB live to raise funds for Ukraine. We count on your help. Please donate to the Ukraine Humanitarian Fund or the International Fund ‘КОЖЕН МОЖЕ 

https://crisisrelief.un.org/t/ukraine

Many thanks to all the volunteers involved 🤍
Take care of yourselves, stay safe 
Love 🤍",https://www.instagram.com/p/CaaLKKbojjq/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
9847,9847,9847,2781457698446880219_15657906362,2022-02-25 13:26:57,"Our original showcase on @hoer.berlin was cancelled due to the circumstances. HOR has decided to organize an emergency fundraiser to show support and raise funds for organizations in needs in Ukraine. James Lotion, Sparkly Pony & Dgeral will be behind the decks. We stand in solidarity with Ukraine.

Catch me at 21:00 💚💚💚

Follow the link in bio to donate! 

https://crisisrelief.un.org/t/ukraine

19:00 JAMES LOTION
20:00 SPARKLY PONY
21:00 DGERAL",https://www.instagram.com/p/CaZuQo5s63b/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
9888,9888,9888,2781451060538062702_5751127963,2022-02-25 13:13:46,"Via @hoer.berlin “We stand in solidarity with the people of Ukraine. Please join us for a streaming event today 3PM-10PM CEST to show support and to raise funds for organisations in need”

https://crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/CaZswC3gTdu/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
11804,11804,11804,2781659567891431573_2492315661,2022-02-25 20:08:02,"Our ❤️ aches for Ukraine 😢 

Let’s all come together and help those who are being affected right now 🙏 

Join @everythingspiritual tonight at 7:30pm pst on @tiktok @tiktok_canada 

100% of the proceeds generated from this live stream will be donated directly to the Ukraine Humanitarian Fund 🙏 

If you can’t make it, please consider donating directly to https://crisisrelief.un.org/t/ukraine

.
.
.
#ukraine #helpukraine #ukrainehumanitarianfund #tiktok #tiktokcanada #soundbath #soundhealing #reiki #meditation #saveukraine",https://www.instagram.com/p/CaacKOePECV/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
12452,12452,12452,2783029686522081677_4459614888,2022-02-27 17:45:13,"This song was written in 1967 by Joan Baez and Nina Duschek to protest the Vietnam War, today I sing it for Ukraine ❤️🕊

https://crisisrelief.un.org/ukraine-crisis

Farewell, my wistful Saigon bride 
I'm going out to stem the tide 
A tide that never saw the seas 
It flows through jungles, 'round the trees 
Some say it's yellow, some say red 
It will not matter when we're dead

How many dead men will it take 
To build a dike that will not break? 
How many children must we kill 
Before we make the waves stand still? 

Men die to build their Pharaoh's tombs 
And still, and still the teeming wombs
How many men to conquer Mars?
How many dead to reach the stars?

Farewell, my wistful Saigon bride 
I'm going out to stem the tide 
A tide that never saw the seas 
It flows through jungles, 'round the trees 
Some say it's yellow, some say red 
It will not matter when we're dead",https://www.instagram.com/tv/CafTsE4g_GN/,https://crisisrelief.un.org/ukraine-crisis,crisisrelief.un.org,un
12745,12745,12745,2782965912938497979_514572583,2022-02-27 15:23:31,"💙💛 LINKS TO HELP UKRAINIAN VICTIMS / LINKS PRA AJUDAR VÍTIMAS UCRANIANAS 💛💙

- I gathered some useful links in case you wanna help the people of Ukraine. You can find links of organizations that are currently providing humanitarian help for everyone: children, elderly, disabled, animals, media, lgbtqia+, etc.

- Eu reuni alguns links úteis caso vc queira ajudar o povo da Ucrânia. Vc vai encontrar links de organizações que estão no momento da do ajuda humanitária pra todo mundo: crianças, idosos, pessoas com mobilidade reduzida, animais, a mídia, a comunidade lgbtqia+, etc.

💙 💛  KORPORATSIYA MONSTRIV - (Monsters Inc.) 
** Humanitarian help for children and elderly / ajuda humanitária pra crianças e idosos**
 
http://monstrov.org/rekvizity/
@korporaciya_monstrov_odessa 

 
💙 💛  FIGHT FOR FIGHT
**help for Ukrainians with disabilities/ ajuda para ucranianos com mobilidade reduzida**

https://eng.ffr.org.ua/support-in-crisis/eng
@fightforrightngo

 
💙 💛  SUPPORT THE LGBTQIA+ COMMUNITY IN UKRAINE / AJUDA PARA A COMUNIDADE LGBTQIA+

@insight_ngo
@kyivpride
@fulcrumua

 
💙 💛  EVERYBODY CAN
**humanitarian help / ajuda humanitária**

https://everybodycan.com.ua/dopomogti-zaraz
@everybodycan.ua

 
💙 💛 CHILDRENS VOICES
**social and psychological help for children / ajuda social e psicológica para crianças**

https://voices.org.ua/en/
 

💙 💛  Caritas
**humanitarian assistance/ assistência humanitária**

https://caritas.ua/

 
💙 💛  RAZOM: Emergency Response
** medical training and first aid kits / treinamento médico e kit de primeiros socorros**

https://razomforukraine.org/razom-emergency-response/
 
 
💙 💛  Sunflower of Peace
** medical assistance and first aid kits / assistência médica e kits de primeiros socorros **

https://www.facebook.com/donate/507886070680475/
 

💙 💛  Lifeline Ukraine
** psychological support - suicide prevention line / apoio psicológico linha de prevenção ao suicídio**

https://lifelineukraine.com/en/donation

 
💙 💛  UN Crisis Relief: Ukrainian Humanitarian Fund
** UN help fund / fundo de ajuda da ONU**

https://crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/CafFMDGuEe7/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
13988,13988,13988,2783091919792788017_11141941598,2022-02-27 19:33:52,"Humans are sometimes difficult to love but compassion is something we are in great need of right now. No war is justified and they must all be condemned to the highest degree.

If you would like to do something help, the ‘Ukraine Humanitarian Fund” is a UN country-based pooled fund which helps humanitarian NGOs and UN agencies in the Ukraine to assist the most vulnerable communities and people, and to provide them with urgently needed food, water, shelter and other basic support.

https://crisisrelief.un.org/t/ukraine

I’ve added the link in my bio.",https://www.instagram.com/p/Cafh1sIglIx/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
14319,14319,14319,2783769849303685490_2214893428,2022-02-28 18:00:47,"🇺🇦 Support for Ukraine 🇺🇦

We’ve collected a list of organisations you can refer to for more information and contribute through donations to support those affected in and from Ukraine. Their pain is ours, their loss is ours, and we will continue to support and stand for the people of Ukraine. #StopTheWar 

🌐 You can find all clickable versions of these links in our Help Ukraine highlight: 

• Stand with Ukraine - https://standwithukraine.live/how-to-help/
Information about future demonstrations and Ukrainian organisations currently working to aid those affected by the war.

• Caritas - https://www.caritas-international.de/hilfeweltweit/europa/ukraine/inlandsvertriebene
Caritas provides shelters, blankets, food, psychological support, and more to those affected by war. 

• WFP by UN - https://www.wfp.org/support-us/stories/donate?utm_source=google&utm_medium=cpc&utm[…]uNeprIUJKbe2ZYvdsk7-HVAcCzhn1TMM02V8BoCbZcQAvD_BwE&gclsrc=aw.ds
The World Food Programme distributes food to areas in need. 

• UNICEF - https://www.unicef.de/informieren/projekte/europa-1442/ukraine-19470
Emergency aid for Ukrainian children. 

• Aktion deutschland hilft - https://www.aktion-deutschland-hilft.de/de/hilfseinsaetze/nothilfe-ukraine/ukraine-krieg-aktion-deutschland-hilft-ruft-zu-spenden-auf/
Donate to support healthcare for injured soldiers and civilians. 

• UN crisis relief - https://crisisrelief.un.org/ukraine-crisis?gclid=CjwKCAiAgvKQBhBbEiwAaPQw3EsQsPR8J2hcauV7cRBGtZPRWR0TRQAiMtnq81hkKRLOSL1mpr3KWxoClQoQAvD_BwE

• Russia-Ukraine War: Info And Ways To Help - https://ukrainewar.carrd.co/ 

🏠 Temporary homes for Ukrainians in Germany - https://wunderflats.com/page/ukraine/tenants-in-need-en 

Feel free to comment any organisations you know of that can contribute to this list 🙏

❤️ Not everyone can give support in the ways they wish but you can express solidarity by: donating money to civil organisations, standing with like-minded people at the protests, sending humanitarian aid to Ukrainians, or just sharing our post to raise awareness about hostilities happening in #Ukraine. 

We are here for you. #StandWithUkraine",https://www.instagram.com/p/Cah7-3MMFly/,https://crisisrelief.un.org/ukraine-crisis?gclid=CjwKCAiAgvKQBhBbEiwAaPQw3EsQsPR8J2hcauV7cRBGtZPRWR0TRQAiMtnq81hkKRLOSL1mpr3KWxoClQoQAvD_BwE,crisisrelief.un.org,un
15733,15733,15733,2784192808220841738_7730403908,2022-03-01 08:01:08,"Grab the special ""BM Peace for UA"" bag to help the people of Ukraine. 

100% of the income from the bag will be donated to the Ukraine Humanitarian Fund (crisisrelief.un.org/t/ukraine)!

Get your bag here: https://bondage-music.bandcamp.com/merch/bm-bag-ukraine-edition

Feel free to share this posting to show solidarity for the people from Ukraine!

THANK YOU 
🙏 🇺🇦

The bag is available at Bondage-Music @bandcamp and will be shipped March 07.

#nowarinukraine #nowar #standwithukraine #ukraine #makelovenotwar #bondagemusic #bombarthandsonbondage #bombartdesign #standupandhelp",https://www.instagram.com/p/CajcJuYM1cK/,crisisrelief.un.org/t/ukraine,crisisrelief.un.org/t/ukraine,un
16195,16195,16195,2783897115804120912_396475275,2022-02-28 22:13:39,"Resources and ways to help those in need right now. #StandWithUkraine 
  
Ukrainian Humanitarian Fund: 
https://crisisrelief.un.org/t/ukraine  

Canada-Ukraine Foundation 
https://www.canadahelps.org/en/dn/70605 

Support for Independent Ukrainian journalism: 
https://www.patreon.com/kyivindependent  

Support for Ukrainian soldiers and children: 
https://vuf-td.space/en/ 

Support for Caritas in Ukraine: 
https://www.caritas.org/ukraine-appeal-22/ 

Nigerians (Africans) Leaving Ukraine 
https://lnkj.in/p/nido/

More can also be found listed in our bio.",https://www.instagram.com/p/CaiY61WvTdQ/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
16239,16239,16239,2783876356520504472_6689655098,2022-02-28 21:32:24,"Check out this special bag from my home label @bondage_music ""BM Peace for UA"" to help the people of Ukraine. 

Get your bag here: link in bio! 

100% of the income from the bag will be donated to the Ukraine Humanitarian Fund (crisisrelief.un.org/t/ukraine)!

THANK YOU 
🙏 🇺🇦",https://www.instagram.com/p/CaiUMvxA2yY/,crisisrelief.un.org/t/ukraine,crisisrelief.un.org/t/ukraine,un
16494,16494,16494,2784422346117853947_243719299,2022-03-01 15:37:11,"My friends at Bondage Music have made these beautiful ""BM Peace for Ukraine"" tote bags to benefit the people of Ukraine. 🇺🇦

100% of the income from the bag will be donated to the Ukraine Humanitarian Fund (crisisrelief.un.org/t/ukraine)!

Head over to the @bondage_music page for purchase link or find it in my bio: https://bondage-music.bandcamp.com/merch/bm-bag-ukraine-edition

#standwithukraine #nowar #peace #bondagemusic #dilbydj",https://www.instagram.com/p/CakQV8NA7L7/,crisisrelief.un.org/t/ukraine,crisisrelief.un.org/t/ukraine,un
16512,16512,16512,2784418282645471190_44629620,2022-03-01 15:29:07,"Did you know Ukraine is a farming paradise for wheat, sunflowers, and eggs? 

Ukrainian farmers harvested in 2021-22 around 33 million MT of wheat and just in the region of Kyiv 522.5 million eggs were produced last year. In terms of sunflowers seeds and oil Ukraine is one of the top exporters too. 

Due to the current situation wheat production and exports on all goods have stopped. Many people around the world will be affected. Probably us too.

What is happening in Ukraine affects us all. Join us in prayer and if you can please donate. 

https://crisisrelief.un.org/t/ukraine

https://www.savethechildren.org/us/where-we-work/ukraine

https://wck.org

.
.
.

#humanitarianaid #ukrainefarming #ukraine #helpukraine #nowarinukraine #adrianasbestrecipes #abrecipes #eggsofinstagram #wheatgrain #wheatharvest #farming #ukrainefarmers #eggslover #donatetoday #prayforukraine",https://www.instagram.com/p/CakPazzL7_W/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
17458,17458,17458,2784595554417510967_1812505866,2022-03-01 21:21:19,"Today we cried into pancakes. 😢

My team did an outstanding job while I sat in solidarity with the most beautiful women from Ukraine to ask how can we help. 💙💛

This is not something anyone has dealt with before , but the coming together has been powerful and jobs have been drawn up and people are working now on actions to support, raise funds, make accommodation lists, get donations and volunteers to Kasia and her team at the donation drop off 💛 @smakoteka_galway and @photopapilio 

We raised close to €4,000 today and I want to thank you all for coming in, people were climbing the stairs all day some not even seeking pancakes but just to drop up money. 💛

The UN are expecting up to 4 million Ukrainians to seek refuge in the coming days. 

In the words of Filippo Grandi today who said in his 40 years has never seen numbers like this - 

“It has never been as urgent 
If you fail 
If we fail 
It might be too late for us all”
Filippo Grandi 

Please continue to donate : 

https://crisisrelief.un.org/ 

Supporting communities in Ireland and abroad - Irish Red Cross @irishredcross @revolutapp 

56 Central is still accepting donations and will donate 

THANK YOU all so much , please don’t call us hero’s please 
keep sharing information 
keep yourself informed 
and do something 
💛💙💛💙💛💙💛💙💛🇮🇪🇮🇪🇮🇪🇮🇪🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦
Gill",https://www.instagram.com/p/Cak3udAMAo3/,https://crisisrelief.un.org/,crisisrelief.un.org,un
17848,17848,17848,2784471772995840602_5930744948,2022-03-01 17:15:23,"Le monde entier est uni pour soutenir l’Ukraine ! 🇺🇦
 
Mercredi 2 mars, de 18h à 2h, Possession, Steer, Tealer et Rotary proposent un Livestream solidaire avec Cassie Raptor, Hadone, Lessss, Parfait, Shlømo & Trym.

L’intégralité des fonds récoltés sera reversée à des associations pour venir en aide à l’Ukraine. 
 
► Link for donations : crisisrelief.un.org/t/ukraine 

#warehousenantes #nantes #warehouse #concert #lightshow #ledscreen #concerthall #bigcity #nantes #naoned #throwback #france #djset #artistes #monde #electro #techno #prayforukraine #ukraine #donations #donationsneeded @possesiontechno @tealer @rotary_music @trym.fr @shlomo_taapion @naila_guiguet @lessssdj @hadone_saike @cassie_raptor @pacardin_steer",https://www.instagram.com/p/CakblMkhOpa/,crisisrelief.un.org/t/ukraine,crisisrelief.un.org/t/ukraine,un
18006,18006,18006,2785164867977468525_863642827,2022-03-02 16:12:26,"Peace and freedom 💙💛🇺🇦 🙏

Ukraine Humanitarian Fund
https://crisisrelief.un.org/t/ukraine",https://www.instagram.com/p/Cam5LDksdpt/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
18020,18020,18020,2785162961439703427_3828275,2022-03-02 16:08:39,"‼️ SOLD OUT ‼️

Edit: that was crazy fast, sold out in 90 min! Thank you so much! This brought in 800x12= €9600 for Ukraine!🇺🇦💙💛🇺🇦

===================

Art for Ukraine 🇺🇦💙💛

It's hard to create surreal art when the world has become a surreal place, war in Europe only 8 hours drive from Prague where I live and work. 

""Together we are Strong""
I've decided to release a special edition print to bring in money for helping Ukraine. Each print is 800 euros and 100% of the price will be donated to ""Ukraine Humanitarian Fund""
 ( https://crisisrelief.un.org/t/ukraine ) 

This print is sold out in both Medium and Large size so it's a unique opportunity. The size is slightly smaller than the medium print and is printed on Museum Natural Silk 300 paper, 58 x 46 cm ( 22.8 x 18.1 inches ). Shipped rolled in a protective tube. Price includes worldwide shipping. Proof of donation will be posted here on Instagram.

If you would like to get your hands on it please send a message to: ukraine@erikjohanssonphoto.com

#ukraine #artforukraine #ukrainehumanitarianfund #humanitarian #nowar",https://www.instagram.com/p/Cam4vT-MEGD/,https://crisisrelief.un.org/t/ukraine,crisisrelief.un.org,un
18052,18052,18052,2785158881129254198_2199373533,2022-03-02 16:00:35,Buffalo General Medical Center and John R. Oishei Children's Hospital will light up in blue and yellow to show solidarity with Ukraine. We support our colleagues and all those who suffer because of war.  Please consider donating to help the people of Ukraine: https://crisisrelief.un.org/ukraine-crisis?mc_cid=c142931fa7&mc_eid=UNIQID.,https://www.instagram.com/p/Cam3z74u802/,https://crisisrelief.un.org/ukraine-crisis?mc_cid=c142931fa7&mc_eid=UNIQID.,crisisrelief.un.org,un
