,Unnamed: 0,video_id,channel_title,channel_id,date,video_title,video_links,domains
38208,38208,-tXmQ9rZZBM,Free Brave Ukraine,UCLIzNsMWZbhPnu7hbBujK7g,2022-02-28 05:55:38,Free Brave Ukraine,"['https://www.doctorswithoutborders.org', 'https://www.icrc.org/en/donate/ukraine', 'https://novaukraine.org/donate/', 'https://www.rsukraine.org/about-us', 'https://uacrisis.org/en/help-ukraine', 'https://give.unrefugees.org/220224ukr_emer_d_4983/', 'https://www.unicefusa.org/', 'https://unitedhelpukraine.org/about-us', 'https://voices.org.ua/donat/', 'https://twitter.com/Ukraine']","['www.doctorswithoutborders.org', 'www.icrc.org', 'novaukraine.org', 'www.rsukraine.org', 'uacrisis.org', 'give.unrefugees.org', 'www.unicefusa.org', 'unitedhelpukraine.org', 'voices.org.ua', 'twitter.com']"
44556,44556,fjyqxs_-Y3E,Doug Helvering,UCg0w_o_XPJnT-S1fva7NXyA,2022-02-28 23:04:35,Jinjer: Home Back REACTION/ANALYSIS - In Support of Ukraine - The Daily Doug (Episode 344),"['https://wck.org/', 'https://www.unicefusa.org/', 'https://voices.org.ua/en/', 'https://my.care.org/site/Donation2?df_id=31071&mfc_pref=T&31071.donation=form1&s_src=172220UCFM00&s_subsrc=FY22UkraineCrisisFundMO', 'https://give.unrefugees.org/220224ukr_emer_d_4983/', 'https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine', 'https://give.internationalmedicalcorps.org/page/99837/donate/1?ea.tracking.id=DP~UA22~DPHHU2202', 'https://how-to-help-ukraine-now.super.site/?fbclid=IwAR3MWY9F5FoqiKHqqIms_t35opyD17KignnioAfkAVrm28CCd8-dJ3IvbMw', 'https://www.youtube.com/watch?v=MKs_gVgcfM4', 'https://www.youtube.com/watch?v=0t_I_ghmXIQ', 'https://www.patreon.com/doughelvering', 'https://www.instagram.com/doug.helvering', 'https://www.facebook.com/helvering', 'https://www.twitter.com/helvering', 'https://vimeo.com/user146736659', 'https://docs.google.com/spreadsheets/d/1UEvcDKlhqywcJsJobsUgrNi61NP3-c1KFHhgKoKubtg/edit?usp=sharing']","['wck.org', 'www.unicefusa.org', 'voices.org.ua', 'my.care.org', 'give.unrefugees.org', 'www.icrc.org', 'www.doctorswithoutborders.org', 'give.internationalmedicalcorps.org', 'how-to-help-ukraine-now.super.site', 'www.youtube.com', 'www.youtube.com', 'www.patreon.com', 'www.instagram.com', 'www.facebook.com', 'www.twitter.com', 'vimeo.com', 'docs.google.com']"
55900,55900,hQZCRqGEb0w,Neuro,UCOUtDNm-8Td8AaJvMLxujtg,2022-03-02 10:07:25,Bittersugar from Kyiv - Interview from Ukraine [Feb 28 2022],"['https://www.doctorswithoutborders.org/what-we-do/countries/ukraine', 'https://www.facebook.com/donate/507886070680475/', 'https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine']","['www.doctorswithoutborders.org', 'www.facebook.com', 'www.icrc.org']"
66258,66258,VbYdlGYAvXY,GLOBAL IMPACT SHOW,UCjTZDYp1O6r4dKOMTm2QaaA,2022-03-03 16:28:18,S4 Ep10: UKRAINE/RUSSIA NEGOTIATION WITH WILLIAM URY,"['https://www.instagram.com/williamlury/', 'https://twitter.com/WilliamUryGTY', 'https://www.williamury.com', 'https://twitter.com/DmytroKuleba', 'https://www.instagram.com/dmytro_kuleba/', 'https://www.icrc.org/en/donate/ukraine', 'https://usukraine.org/take-action/donate/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['www.instagram.com', 'twitter.com', 'www.williamury.com', 'twitter.com', 'www.instagram.com', 'www.icrc.org', 'usukraine.org', 'www.doctorswithoutborders.org']"
68893,68893,q9-X7Fen6ac,TheSun King,UCZaajVhi_ZldJ8egharQYoQ,2022-03-03 23:25:53,"1March2022 Ukrainian News, THE SUN KING66, Seeking the TRUTH, no matter where it leads","['https://crisisrelief.un.org/t/ukraine', 'https://donate.doctorswithoutborders.org/secure/donate', 'https://www.globalgiving.org/projects/ukraine-crisis-relief-fund/', 'https://help.rescue.org/donate', 'https://razomforukraine.org/donate/', 'https://www.jdc.org/disasters/ukraine-response/', 'https://secure2.convio.net/waort/site/Donation2;jsessionid=00000000.app20109b?5951.donation=form1&df_id=5951&mfc_pref=T&NONCE_TOKEN=7BC908C12D12B1662C7A51CC526E5E07', 'https://wupj.org/news/2022/02/51971/world-union-launchs-ukraine-crisis-fund/']","['crisisrelief.un.org', 'donate.doctorswithoutborders.org', 'www.globalgiving.org', 'help.rescue.org', 'razomforukraine.org', 'www.jdc.org', 'secure2.convio.net', 'wupj.org']"
74180,74180,8vzP2fQtHgE,O Mundo para Iniciantes,UCekfhIZygboVQhgHN9jEkdw,2022-03-04 17:00:04,Como a guerra na Ucrânia abalou as nossas vidas,"['https://savelife.in.ua/en/donate/', 'https://help.rescue.org/donate-pl/ukraine-crisis', 'https://www.unicef.org/emergencies/conflict-ukraine-pose-immediate-threat-children', 'https://donate.unhcr.org/int/en/ukraine-emergency#_ga=2.13785776.683375029.1645713845-2039642701.1643819055', 'https://www.icrc.org/en/donate/ukraine', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-euvDYSewbE_lqZRvFLpkE8', 'https://youtu.be/M6QIlIOtvXw', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-c2F1O2rNvHOsQVzGebRJDw', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-dHukV4FxAlA1_o-iHHcdA5', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-eS2REVqgroDfuv-PCJdSTh', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-cVY42Neu9FZxzLsT5mIrwn', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-c6HHOrDOJwi9dhJwUL5FPa', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-fzrshvcIkQcJBSUriQZXcR', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-cm3iF52TXvetIvmbVYz8wk', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-e6DbyXQ8Fs6EKteKd_Wncp', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-cZG8r7Rxn27iwcjH6nHR-J', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-fSvcrtHqVy9byfs4X-j7oJ', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-c0rslB55ywkWUKU79eAzi7', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-dDtdcAWtolxpRJbVT0pCMx', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-eObZNArouyvd7n1n8D5i1E', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-eQZbbDtkVadXg7ILriDzjM', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-ev5f6O6-RRFy-a3D-nh-rZ', 'https://www.youtube.com/playlist?list=PL78v07xsJ7-eaxAIzxn1vVP-5xhKmrKs0']","['savelife.in.ua', 'help.rescue.org', 'www.unicef.org', 'donate.unhcr.org', 'www.icrc.org', 'www.doctorswithoutborders.org', 'www.youtube.com', 'youtu.be', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com', 'www.youtube.com']"
79735,79735,rowyXxGYvqA,Transport Evolved,UC675NhQ4EU5TzwCMwYp5XCw,2022-03-05 13:33:58,"TEN 376: Auto Industry Responds to Ukraine, TSLA GigaBerlin Approval, Rivian Price Hike","['https://www.youtube.com/channel/UC675NhQ4EU5TzwCMwYp5XCw/join', 'https://www.patreon.com/transportevolved', 'https://ko-fi.com/transportevolved', 'https://www.youtube.com/transportevolvedtake2', 'https://www.twitter.com/TransportEvolve', 'https://discord.gg/9WAjfQn', 'https://www.redbubble.com/people/TransportEVd/', 'https://www.youtube.com/channel/UCZWSrDEYcNoio7QaetV_JKA', 'https://www.unicefusa.org/stories/unicef-children-crossfire-ukraine-crisis/39542?utm_campaign=20220225_Emergencies&utm_medium=Organic&utm_source=UkraineWebStoryChildrenFeb2022&utm_content=LearnMoreUkraineWebStoryChildrenFeb2022&ms=Organic_PRL_2022_Emergencies_20220225_UkraineWebStoryChildrenFeb2022_LearnMoreUkraineWebStoryChildrenFeb2022_none_none&initialms=Organic_PRL_2022_Emergencies_20220225_UkraineWebStoryChildrenFeb2022_LearnMoreUkraineWebStoryChildrenFeb2022_none_none', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine', 'https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine', 'https://www.unrefugees.org/what-we-do/', 'https://my.care.org/site/Donation2?df_id=31071&mfc_pref=T&31071.donation=form1&s_src=172220UCFM00&s_subsrc=FY22UkraineCrisisFundMO']","['www.youtube.com', 'www.patreon.com', 'ko-fi.com', 'www.youtube.com', 'www.twitter.com', 'discord.gg', 'www.redbubble.com', 'www.youtube.com', 'www.unicefusa.org', 'www.doctorswithoutborders.org', 'www.icrc.org', 'www.unrefugees.org', 'my.care.org']"
82019,82019,N3nk0OefcjQ,TheSun King,UCZaajVhi_ZldJ8egharQYoQ,2022-03-05 21:19:38,"3March2022 Ukrainian News, THE SUN KING66, Seeking the TRUTH, no matter where it leads","['https://crisisrelief.un.org/t/ukraine', 'https://donate.doctorswithoutborders.org/secure/donate', 'https://www.globalgiving.org/projects/ukraine-crisis-relief-fund/', 'https://help.rescue.org/donate', 'https://razomforukraine.org/donate/', 'https://www.jdc.org/disasters/ukraine-response/', 'https://secure2.convio.net/waort/site/Donation2;jsessionid=00000000.app20109b?5951.donation=form1&df_id=5951&mfc_pref=T&NONCE_TOKEN=7BC908C12D12B1662C7A51CC526E5E07', 'https://wupj.org/news/2022/02/51971/world-union-launchs-ukraine-crisis-fund/']","['crisisrelief.un.org', 'donate.doctorswithoutborders.org', 'www.globalgiving.org', 'help.rescue.org', 'razomforukraine.org', 'www.jdc.org', 'secure2.convio.net', 'wupj.org']"
85985,85985,yykLJWoDU_0,BriaAndChrissy,UC0mjkSKz9oMZJJmzNbXAwWA,2022-03-06 16:00:26,A Message from Gay Russia #Ukraine,"['https://www.doctorswithoutborders.org/what-we-do/news-stories/news/msf-assesses-response-ukraine-conflict-escalates', 'https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine', 'https://www.gofundme.com/f/keep-ukraines-media-going', 'https://kyivindependent.com/', 'https://762project.org/en/', 'https://razomforukraine.org/', 'https://www.facebook.com/sunflowerofpeace/', 'https://voices.org.ua/en/', 'https://wck.org/']","['www.doctorswithoutborders.org', 'www.icrc.org', 'www.gofundme.com', 'kyivindependent.com', '762project.org', 'razomforukraine.org', 'www.facebook.com', 'voices.org.ua', 'wck.org']"
91502,91502,72Onr_u6tEU,Objective Personality,UCWWwQlDFnYbX_dgDP8lJ09A,2022-03-07 15:00:09,Processing Ukraine...,"['https://www.doctorswithoutborders.org/', 'https://www.redcross.org/']","['www.doctorswithoutborders.org', 'www.redcross.org']"
