,Unnamed: 0,video_id,channel_title,channel_id,date,video_title,video_links,domains
65272,65272,VjmNzwgpUrM,scholagladiatoria,UCt14YOvYhd5FCGCwcjhrOdA,2022-03-03 14:05:48,Help Civilians in Ukraine and Afghanistan Please,"['https://www.dec.org.uk/', 'https://www.unicef.org.uk/', 'https://www.redcross.org.uk/', 'https://www.oxfam.org.uk/', 'https://www.wfp.org/']","['www.dec.org.uk', 'www.unicef.org.uk', 'www.redcross.org.uk', 'www.oxfam.org.uk', 'www.wfp.org']"
82743,82743,gw5JY71j3ok,Priscila Serrano,UCrkJ91kAlYgR465d8VEb49g,2022-03-06 01:33:29,Ukraine charity concert - Guerrilla Radio - Rage Against The Machine tribute band - Norway,"['https://www.unicef.org.uk/donate/donate-now-to-protect-children-in-ukraine/', 'https://donate.unhcr.org/int/en/ukraine-emergency?gclid=Cj0KCQiA95aRBhCsARIsAC2xvfyFpbQGNlRqSmCq9_LMR-g0FsxuXCMe7XGdVPPDierxKjsg5gbedJcaArhtEALw_wcB&gclsrc=aw.ds', 'https://help.rescue.org/donate/ukraine-web?initialms=ws_ftr_fy22_ukraine&ms=ws_ftr_fy22_ukraine', 'https://donatenow.wfp.org/ukraine-appeal/~my-donation?_ga=2.116270095.806438961.1646657781-465150492.1646657781&_gac=1.87911146.1646657781.Cj0KCQiA95aRBhCsARIsAC2xvfyFYj0sQ4RPQ6ZbKmUnPW-RJqGLLijjCwudzbCtGUB4jZlEolNHojAaAgB0EALw_wcB&_cv=1', 'https://crisisrelief.un.org/ukraine-crisis?gclid=Cj0KCQiA95aRBhCsARIsAC2xvfyi_n6fVnjg31Eyt3tTpTWUdvXWELZi8kt0PW3USZt5qi4ZQu5qChMaAnbPEALw_wcB']","['www.unicef.org.uk', 'donate.unhcr.org', 'help.rescue.org', 'donatenow.wfp.org', 'crisisrelief.un.org']"
121870,121870,NMV6uw2El_s,Cat Mansouri,UC_8kANPULCeT2jd0n7mKksQ,2022-03-13 03:09:05,How to Support Ukrainians! (Delicious Ukrainian Food in Toronto),"['https://give.unhcr.ca/page/100190/donate/1?ea.tracking.id=SEM22_EUR&utm_source=google&utm_medium=cpc&utm_campaign=CA_PS_EN_UA&gclid=CjwKCAiAprGRBhBgEiwANJEY7IDyeQDbzoqSayA5KHUix1qwJmGbrFzLeyHqWgPTtRsRnzN1KIlIrxoCxtQQAvD_BwE&gclsrc=aw.ds', 'https://www.wfp.org/support-us/stories/ukraine-appeal?utm_source=google&utm_medium=cpc&utm_campaign=16413288647&utm_content=139489201808&gclid=CjwKCAiAprGRBhBgEiwANJEY7DZ4P5jvdeLzpDI5qZMgNLzmZY5F2idYIGsRgTHb4KOXAV8IWRpomBoC8FIQAvD_BwE&gclsrc=aw.ds', 'https://www.cufoundation.ca/', 'https://www.charityintelligence.ca/research-and-news/ci-views/31-disaster-response/707-ukraine-how-to-help', 'https://www.heavenlyperogy.ca/', 'https://www.facebook.com/janchenkobakery/', 'https://skl.sh/2Xkipif', 'https://www.instagram.com/itscatmansouri', 'https://twitter.com/itscatmansouri', 'https://www.facebook.com/itscatmansouri']","['give.unhcr.ca', 'www.wfp.org', 'www.cufoundation.ca', 'www.charityintelligence.ca', 'www.heavenlyperogy.ca', 'www.facebook.com', 'skl.sh', 'www.instagram.com', 'twitter.com', 'www.facebook.com']"
128153,128153,ozxwDj8RKwA,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-14 13:23:05,Ukraine Multi Cameras from multiple view points in Kyiv Kiev and the border [3/13/2022],"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
132228,132228,x8nVPLITX1M,Melody on channel,UCQUa1CzI1w7XeFN7PMgCjnw,2022-03-15 09:30:07,【 For Ukraine -We Are The World- 】 ウクライナのために,"['https://www.japanforunhcr.org/campaig...', 'https://www.unicef.or.jp/kinkyu/ukraine/', 'https://ja.wfp.org/', 'https://www.jrc.or.jp/contribution/20...', 'https://www.savechildren.or.jp/lp/ukr...', 'https://www.adrajpn.org/', 'https://aarjapan.gr.jp/news/4537/', 'https://peace-winds.org/support/ukraine', 'https://www.msf.or.jp/']","['www.japanforunhcr.org', 'www.unicef.or.jp', 'ja.wfp.org', 'www.jrc.or.jp', 'www.savechildren.or.jp', 'www.adrajpn.org', 'aarjapan.gr.jp', 'peace-winds.org', 'www.msf.or.jp']"
134774,134774,TCgn27DW2n4,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-15 18:10:14,Ukraine Multi Cameras multiple view points | Kyiv Kiev Border Crossing  [3/15/2022],"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
134775,134775,TCgn27DW2n4,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-15 18:10:14,Ukraine Multi Cameras multiple view points | Kyiv Kiev Border Crossing  [3/15/2022],"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
138517,138517,d2kN0eE4SMg,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-16 13:08:36,Ukraine Multi Cameras multiple view points | Kyiv Kiev Border Crossing [3/16/2022],"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
147458,147458,JZRQ2uJIqDQ,George Lepauw Music,UCcmPmJo3eFkQZMIUW06zo7g,2022-03-18 04:13:15,A musical hommage to Ukraine: Elegy by Mykola Lysenko,"['https://donate.savethechildren.org/en/donate/emergency-ukraine?gclsrc=ds', 'https://www.wfp.org/support-us/stories/ukraine-appeal?utm_source=google&utm_medium=cpc&utm_campaign=16400205354&utm_content=132547627103&gclsrc=ds', 'https://www.unocha.org/ukraine', 'https://crisisrelief.un.org/t/ukraine']","['donate.savethechildren.org', 'www.wfp.org', 'www.unocha.org', 'crisisrelief.un.org']"
149795,149795,tWNtygJNdsI,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-18 15:28:10,Ukraine Multi Cameras multiple view points | Kyiv Kiev Border Crossing [3/18/2022],"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
154248,154248,Qpv9942q6Tk,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-19 14:33:11,Ukraine Multi Cameras multiple view points | Kyiv Kiev Border Crossing LIVE 3-19-2022,"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
156838,156838,HzC-sJwBEbE,Walk in Japan 4K,UCMZQ-tssyCKmdwueJMsl0nA,2022-03-20 09:00:05,【Amazing Grace】Ukrainian tragedy　『アメージング・グレイス』ウウクライナの悲劇,"['https://www.japanforunhcr.org/campaign/ukraine', 'https://www.unicef.or.jp/kinkyu/ukraine/', 'https://ja.wfp.org/', 'https://www.jrc.or.jp/contribution/2022/0302_024032.html', 'https://www.savechildren.or.jp/lp/ukrainecrisis/', 'https://www.adrajpn.org/', 'https://aarjapan.gr.jp/news/4537/', 'https://peace-winds.org/support/ukraine', 'https://www.msf.or.jp/']","['www.japanforunhcr.org', 'www.unicef.or.jp', 'ja.wfp.org', 'www.jrc.or.jp', 'www.savechildren.or.jp', 'www.adrajpn.org', 'aarjapan.gr.jp', 'peace-winds.org', 'www.msf.or.jp']"
157381,157381,0BTarSJDe8Y,Dr Stan Steindl,UCujCvGkc_TFF7KmA0Sk4E7A,2022-03-20 12:03:56,"Where there is suffering, there is also compassion.","['https://www.usatoday.com/in-depth/graphics/2022/03/19/millions-ukrainian-refugees-fleeing-where-they-going-ukraine-war/7034809001/', 'https://www.unicef.org/', 'https://www.unhcr.org/', 'https://www.wfp.org/', 'https://www.savethechildren.net/', 'https://www.care.org/', 'https://actforpeace.org.au/', 'https://www.icrc.org/en', 'https://www.facebook.com/drstansteindl', 'https://twitter.com/StanSteindl', 'https://www.instagram.com/dr_stan_steindl/', 'https://www.linkedin.com/in/stan-steindl-150a5264/', 'https://www.stansteindl.com/', 'https://youtu.be/0BTarSJDe8Y']","['www.usatoday.com', 'www.unicef.org', 'www.unhcr.org', 'www.wfp.org', 'www.savethechildren.net', 'www.care.org', 'actforpeace.org.au', 'www.icrc.org', 'www.facebook.com', 'twitter.com', 'www.instagram.com', 'www.linkedin.com', 'www.stansteindl.com', 'youtu.be']"
157851,157851,Hz4Lwjg3rjU,WorldCam,UCNrGOnduIS9BXIRmDcHasZA,2022-03-20 14:48:10,Ukraine Multi Cameras multiple view points | Kyiv Kiev Border Crossing LIVE 3-20-2022,"['https://voices.org.ua/en/', 'https://www.wfp.org/', 'https://www.unicefusa.org/', 'https://www.doctorswithoutborders.org/what-we-do/countries/ukraine']","['voices.org.ua', 'www.wfp.org', 'www.unicefusa.org', 'www.doctorswithoutborders.org']"
